Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample
PN-IQ PN-DOMP,140,140,1e-05,-51.4559556482817,-51.4374002132449,531
PN-IQ PN-DOMP,150,150,0.001,-40.3218472660991,-40.3622042417648,584
PN-IQ PN-DOMP,150,150,0.0001,-50.3151952887628,-50.3144691408514,584
PN-IQ PN-DOMP,150,150,1e-05,-51.4595973090952,-51.4390397578238,584
PN-IQ PN-DOMP,160,160,0.001,-40.2734803288047,-40.2990325489851,621
PN-IQ PN-DOMP,160,160,0.0001,-50.2876683319809,-50.2809808284025,621
PN-IQ PN-DOMP,160,160,1e-05,-51.4712578299059,-51.4489864324969,621
PN-IQ PN-DOMP,170,170,0.001,-40.3080605501078,-40.337428124221,649
PN-IQ PN-DOMP,170,170,0.0001,-50.2592988586758,-50.2522371614484,649
PN-IQ PN-DOMP,170,170,1e-05,-51.4766224830395,-51.4536513656113,649
PN-IQ PN-DOMP,180,180,0.001,-40.3081452274403,-40.3378020646917,679
PN-IQ PN-DOMP,180,180,0.0001,-50.2579148241896,-50.2502785694582,679
PN-IQ PN-DOMP,180,180,1e-05,-51.4789202263874,-51.4549071426531,679
PN-IQ PN-DOMP,190,190,0.001,-40.3167381869614,-40.3413897881108,712
PN-IQ PN-DOMP,190,190,0.0001,-50.2535627077065,-50.2430469785491,712
PN-IQ PN-DOMP,190,190,1e-05,-51.4788245589016,-51.4541252475606,712
PN-IQ PN-DOMP,200,200,0.001,-40.3305330182453,-40.3565606669941,740
PN-IQ PN-DOMP,200,200,0.0001,-50.1250482118509,-50.1131226569827,740
PN-IQ PN-DOMP,200,200,1e-05,-51.4783271106877,-51.4534832985904,740
PN-IQ PN-DOMP,210,210,0.001,-40.3645902875875,-40.3889831669902,767
PN-IQ PN-DOMP,210,210,0.0001,-50.1055666816523,-50.0922876235216,767
PN-IQ PN-DOMP,210,210,1e-05,-51.4794743492575,-51.4534293405722,767
PN-IQ PN-DOMP,220,220,0.001,-40.5630068798674,-40.5843415052182,797
PN-IQ PN-DOMP,220,220,0.0001,-49.8731550842554,-49.8587659174866,797
PN-IQ PN-DOMP,220,220,1e-05,-51.474766713948,-51.4492141579505,797
PN-IQ PN-DOMP,230,230,0.001,-40.5822704585143,-40.6057446945635,826
PN-IQ PN-DOMP,230,230,0.0001,-49.8587990531683,-49.8456367298302,826
PN-IQ PN-DOMP,230,230,1e-05,-51.4776899657773,-51.4502507166807,826
PN-IQ PN-DOMP,240,240,0.001,-40.5008246671,-40.5183377106482,855
PN-IQ PN-DOMP,240,240,0.0001,-49.8613954619402,-49.8428295140627,855
PN-IQ PN-DOMP,240,240,1e-05,-51.4849027516244,-51.4534271821818,855
PN-IQ PN-DOMP,250,250,0.001,-40.5150334202672,-40.5290849136644,883
PN-IQ PN-DOMP,250,250,0.0001,-49.8499581044113,-49.8309214902352,883
