Model,SweepRole,TargetRealParameters,ActualRealParameters,RegularizationMode,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,DenseSourceSignature,CandidateFeatures,RetainedFeatures,ActiveFeatures,FineTuneEpochs,FineTuneBudgetSource,MaskIntegrityAfterPruning,MaskIntegrityAfterFineTune,PointTimeSeconds,ArtifactFile
Independent PN-IQ PN-DOMP sweep,Sweep point,340,340,Validation-selected Ridge,1e-06,-51.4525281775252,-51.5831864996819,-51.5336823674826,1124,340,0,NaN,Not applicable,1346,1285,170,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,350,350,Validation-selected Ridge,1e-06,-51.4557340919794,-51.5863963138886,-51.5356695619058,1154,350,0,NaN,Not applicable,1346,1285,175,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,360,360,Validation-selected Ridge,1e-06,-51.4581904749017,-51.5856388691873,-51.534693527953,1179,360,0,NaN,Not applicable,1346,1285,180,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,370,370,Validation-selected Ridge,1e-06,-51.4526259094825,-51.5820072166231,-51.5308117415166,1205,370,0,NaN,Not applicable,1346,1285,185,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,380,380,Validation-selected Ridge,1e-06,-51.4545983041428,-51.5836236308166,-51.5320281670579,1233,380,0,NaN,Not applicable,1346,1285,190,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,390,390,Validation-selected Ridge,1e-06,-51.4557969864819,-51.5843541898594,-51.5325576399649,1267,390,0,NaN,Not applicable,1346,1285,195,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,400,400,Validation-selected Ridge,1e-06,-51.4538822656422,-51.5857970404022,-51.5335632976959,1297,400,0,NaN,Not applicable,1346,1285,200,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,410,410,Validation-selected Ridge,1e-06,-51.4542761277395,-51.5871262858206,-51.5345088335081,1342,410,0,NaN,Not applicable,1346,1285,205,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,420,420,Validation-selected Ridge,1e-06,-51.4521545513474,-51.5874568252302,-51.5352940371029,1365,420,0,NaN,Not applicable,1346,1285,210,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,430,430,Validation-selected Ridge,1e-06,-51.4515927395395,-51.5884966219533,-51.5370108755855,1391,430,0,NaN,Not applicable,1346,1285,215,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,440,440,Validation-selected Ridge,1e-06,-51.4498760777983,-51.5902836563813,-51.5381503290319,1423,440,0,NaN,Not applicable,1346,1285,220,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,450,450,Validation-selected Ridge,1e-06,-51.4484963466503,-51.591453516137,-51.5377191255904,1451,450,0,NaN,Not applicable,1346,1285,225,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,460,460,Validation-selected Ridge,1e-06,-51.4480730030441,-51.5924665770662,-51.5380026473297,1480,460,0,NaN,Not applicable,1346,1285,230,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,470,470,Validation-selected Ridge,1e-06,-51.4469142372792,-51.5929161224678,-51.5382772681112,1507,470,0,NaN,Not applicable,1346,1285,235,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,480,480,Validation-selected Ridge,1e-06,-51.44581163522,-51.5949069827427,-51.5397624984491,1533,480,0,NaN,Not applicable,1346,1285,240,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,490,490,Validation-selected Ridge,1e-06,-51.4457557831553,-51.5953772744119,-51.539893987767,1561,490,0,NaN,Not applicable,1346,1285,245,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,500,500,Validation-selected Ridge,1e-06,-51.4462310385426,-51.5963042999591,-51.5406700904174,1585,500,0,NaN,Not applicable,1346,1285,250,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Sparse PNNN N12,Sweep point,20,20,Not applicable,NaN,NaN,-6.70013535198854,-6.71103816485621,200,6,14,99.4186046511628,0ee4931b1c4d055b39e266d63f3f0a364294f04033f46b81144a381bf14b2dcf,NaN,NaN,NaN,164,shared N12 internal selection,1,1,60.6909494,pnnn_target_0020.mat
Sparse PNNN N12,Sweep point,30,30,Not applicable,NaN,NaN,-6.70019146663229,-6.7110885678941,220,16,14,98.4496124031008,0ee4931b1c4d055b39e266d63f3f0a364294f04033f46b81144a381bf14b2dcf,NaN,NaN,NaN,164,shared N12 internal selection,1,1,60.1724644,pnnn_target_0030.mat
Sparse PNNN N12,Sweep point,40,40,Not applicable,NaN,NaN,-6.70020495424423,-6.71110414382034,240,26,14,97.4806201550388,0ee4931b1c4d055b39e266d63f3f0a364294f04033f46b81144a381bf14b2dcf,NaN,NaN,NaN,164,shared N12 internal selection,1,1,60.0112966,pnnn_target_0040.mat
Sparse PNNN N12,Sweep point,50,50,Not applicable,NaN,NaN,-32.8331088301898,-32.8833500282875,260,36,14,96.5116279069767,0ee4931b1c4d055b39e266d63f3f0a364294f04033f46b81144a381bf14b2dcf,NaN,NaN,NaN,164,shared N12 internal selection,1,1,60.1809498,pnnn_target_0050.mat
