Model,SweepRole,TargetRealParameters,ActualRealParameters,RegularizationMode,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,DenseSourceSignature,CandidateFeatures,RetainedFeatures,ActiveFeatures,FineTuneEpochs,FineTuneBudgetSource,MaskIntegrityAfterPruning,MaskIntegrityAfterFineTune,PointTimeSeconds,ArtifactFile
Independent PN-IQ PN-DOMP sweep,Sweep point,60,60,Validation-selected Ridge,0,-38.2565935347754,-38.2306994417824,-38.2736374443467,223,60,0,NaN,Not applicable,1346,1285,30,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,70,70,Validation-selected Ridge,0,-38.8999453714806,-38.7161073047481,-38.7316127615327,269,70,0,NaN,Not applicable,1346,1285,35,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,80,80,Validation-selected Ridge,0,-39.3192105618091,-39.4867744784055,-39.5159178164742,295,80,0,NaN,Not applicable,1346,1285,40,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,90,90,Validation-selected Ridge,0,-39.9535325680496,-40.1741979872814,-40.1942356220368,317,90,0,NaN,Not applicable,1346,1285,45,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,100,100,Validation-selected Ridge,0,-40.1752371416455,-40.6055607228965,-40.6126969849333,345,100,0,NaN,Not applicable,1346,1285,50,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,110,110,Validation-selected Ridge,0,-40.6871579937354,-40.8859644341988,-40.8888545049617,382,110,0,NaN,Not applicable,1346,1285,55,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,120,120,Validation-selected Ridge,0,-40.9559735133872,-41.137721958904,-41.1544855487023,412,120,0,NaN,Not applicable,1346,1285,60,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,130,130,Validation-selected Ridge,0,-41.1444642656428,-41.260037061353,-41.2726773234998,443,130,0,NaN,Not applicable,1346,1285,65,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,140,140,Validation-selected Ridge,0,-41.5539801327235,-41.3888931708423,-41.3999465770188,487,140,0,NaN,Not applicable,1346,1285,70,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,150,150,Validation-selected Ridge,0,-41.6666302961697,-41.53885724959,-41.5311446741762,517,150,0,NaN,Not applicable,1346,1285,75,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,160,160,Validation-selected Ridge,0,-41.7306099781617,-41.6025975680042,-41.6112444947258,545,160,0,NaN,Not applicable,1346,1285,80,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,170,170,Validation-selected Ridge,0,-41.801706331949,-41.6602371810383,-41.6679528644574,579,170,0,NaN,Not applicable,1346,1285,85,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,180,180,Validation-selected Ridge,0,-41.9145190239562,-41.7020379413931,-41.7036982049802,608,180,0,NaN,Not applicable,1346,1285,90,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,190,190,Validation-selected Ridge,0,-42.082143703232,-42.1522189491378,-42.1510419905205,635,190,0,NaN,Not applicable,1346,1285,95,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,200,200,Validation-selected Ridge,0,-42.1182680344423,-42.2041968202315,-42.1980846040345,663,200,0,NaN,Not applicable,1346,1285,100,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,210,210,Validation-selected Ridge,0,-42.1401767014848,-42.3569503225277,-42.3354550909576,703,210,0,NaN,Not applicable,1346,1285,105,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,220,220,Validation-selected Ridge,0,-42.1995141880551,-42.4022937096764,-42.3736552354771,731,220,0,NaN,Not applicable,1346,1285,110,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,230,230,Validation-selected Ridge,0,-42.2194179458197,-42.4689869994593,-42.4499196245269,758,230,0,NaN,Not applicable,1346,1285,115,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,240,240,Validation-selected Ridge,0,-42.2641353815836,-42.497589813033,-42.4723272280191,790,240,0,NaN,Not applicable,1346,1285,120,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,250,250,Validation-selected Ridge,0,-42.4421656519219,-42.5293086664404,-42.5024896234708,825,250,0,NaN,Not applicable,1346,1285,125,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,260,260,Validation-selected Ridge,0,-42.4828064007161,-42.570550089631,-42.5412479448454,853,260,0,NaN,Not applicable,1346,1285,130,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,270,270,Validation-selected Ridge,0,-42.5249359938397,-42.5945137363601,-42.5566343142055,879,270,0,NaN,Not applicable,1346,1285,135,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,280,280,Validation-selected Ridge,0,-42.5521779147564,-42.6198058141034,-42.5796725347224,909,280,0,NaN,Not applicable,1346,1285,140,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,290,290,Validation-selected Ridge,0,-42.5638590540854,-42.6367327835275,-42.5980829669973,933,290,0,NaN,Not applicable,1346,1285,145,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,300,300,Validation-selected Ridge,0,-42.5828647807476,-42.6775827822673,-42.6390169978296,966,300,0,NaN,Not applicable,1346,1285,150,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,310,310,Validation-selected Ridge,0,-42.5926417991963,-42.6943407946764,-42.6466847577144,1003,310,0,NaN,Not applicable,1346,1285,155,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,320,320,Validation-selected Ridge,0,-42.6024556781735,-42.7288211433396,-42.6832747961349,1038,320,0,NaN,Not applicable,1346,1285,160,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
