Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,MaxAbsRealParameter
PN-IQ PN-DOMP,320,320,0.001,-35.2336109966397,-35.1771945646799,1038,86.0831192479612
PN-IQ PN-DOMP,320,320,0.0001,-38.4891690950479,-38.4569458634728,1038,108.676359685295
PN-IQ PN-DOMP,320,320,1e-05,-39.5045628974143,-39.4931256561393,1038,126.38231994538
PN-IQ PN-DOMP,330,330,0.001,-35.2401398619741,-35.1809202436682,1065,85.8859354732888
PN-IQ PN-DOMP,330,330,0.0001,-38.5111461894747,-38.4793792839981,1065,108.50057063202
PN-IQ PN-DOMP,330,330,1e-05,-39.5329926935816,-39.5200140006182,1065,126.04853404712
PN-IQ PN-DOMP,340,340,0.001,-35.2477871173294,-35.1877340472785,1095,85.8636571808073
PN-IQ PN-DOMP,340,340,0.0001,-38.5184706773152,-38.4869701141891,1095,108.489323343648
PN-IQ PN-DOMP,340,340,1e-05,-39.5385721220905,-39.5273585249466,1095,125.95460658375
PN-IQ PN-DOMP,350,350,0.001,-35.2466822558037,-35.1853883866831,1121,85.8340192488855
PN-IQ PN-DOMP,350,350,0.0001,-38.5218539864474,-38.490969796033,1121,108.484891690067
PN-IQ PN-DOMP,350,350,1e-05,-39.5416448966664,-39.5301156541872,1121,125.940462559866
PN-IQ PN-DOMP,360,360,0.001,-35.2505867143635,-35.1891071585892,1150,85.8068641133486
PN-IQ PN-DOMP,360,360,0.0001,-38.5281737032936,-38.4973838711514,1150,108.471548070117
PN-IQ PN-DOMP,360,360,1e-05,-39.5463383346057,-39.5343067922527,1150,125.938936884994
PN-IQ PN-DOMP,370,370,0.001,-35.251710510752,-35.1896077237042,1180,85.8050715489484
PN-IQ PN-DOMP,370,370,0.0001,-38.5309978039921,-38.4993842357132,1180,108.473015159457
PN-IQ PN-DOMP,370,370,1e-05,-39.5515023790077,-39.5376145097529,1180,125.944601854945
PN-IQ PN-DOMP,380,380,0.001,-35.2647425637222,-35.2014673257945,1211,85.7782370826475
PN-IQ PN-DOMP,380,380,0.0001,-38.5522308109013,-38.5237135089512,1211,108.34394153876
