Model,TargetRealParameters,ActualRealParameters,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,FineTuneEpochs,MaxAbsRealParameter
Independent PN-IQ PN-DOMP sweep,270,270,0,-42.5249359938397,-42.5945137363601,-42.5566343142055,879,270,0,NaN,NaN,2.98147636431723e+15
Independent PN-IQ PN-DOMP sweep,280,280,0,-42.5521779147564,-42.6198058141034,-42.5796725347224,909,280,0,NaN,NaN,2.94670672873104e+15
Independent PN-IQ PN-DOMP sweep,290,290,0,-42.5638590540854,-42.6367327835275,-42.5980829669973,933,290,0,NaN,NaN,8.20854798846109e+15
Independent PN-IQ PN-DOMP sweep,300,300,0,-42.5828647807476,-42.6775827822673,-42.6390169978296,966,300,0,NaN,NaN,7.90470432311375e+15
Independent PN-IQ PN-DOMP sweep,310,310,0,-42.5926417991963,-42.6943407946764,-42.6466847577144,1003,310,0,NaN,NaN,7.96420125377773e+15
Independent PN-IQ PN-DOMP sweep,320,320,0,-42.6024556781735,-42.7288211433396,-42.6832747961349,1038,320,0,NaN,NaN,7.94949643493538e+15
Independent PN-IQ PN-DOMP sweep,330,330,0,-42.6445225374674,-42.7615370186331,-42.7139008913157,1065,330,0,NaN,NaN,8.23396227086324e+15
Independent PN-IQ PN-DOMP sweep,340,340,0,-42.6496708784847,-42.7930686579121,-42.7401715399615,1095,340,0,NaN,NaN,8.28130006645128e+15
Independent PN-IQ PN-DOMP sweep,350,350,0,-42.6702085543628,-42.8226183139608,-42.7681612810637,1121,350,0,NaN,NaN,8.46589449529646e+15
Independent PN-IQ PN-DOMP sweep,360,360,0,-42.6808142501333,-42.8353471347649,-42.7760440554361,1150,360,0,NaN,NaN,7.91394773868808e+15
Independent PN-IQ PN-DOMP sweep,370,370,0,-42.6856205910276,-42.86474646009,-42.7983788523551,1180,370,0,NaN,NaN,7.92372813668519e+15
Independent PN-IQ PN-DOMP sweep,380,380,0,-42.6908158053403,-42.8886921728389,-42.8211305442259,1211,380,0,NaN,NaN,7.09741631345179e+15
Independent PN-IQ PN-DOMP sweep,390,390,0,-42.6969627296339,-42.921503948066,-42.8499124840891,1241,390,0,NaN,NaN,7.1191396531835e+15
Independent PN-IQ PN-DOMP sweep,400,400,0,-42.7296125991166,-42.9930378478153,-42.9174693442353,1271,400,0,NaN,NaN,6.98465045065334e+15
Independent PN-IQ PN-DOMP sweep,410,410,0,-42.7691934639372,-43.0015714055726,-42.9233312212863,1302,410,0,NaN,NaN,7.04564206380159e+15
Independent PN-IQ PN-DOMP sweep,420,420,0,-42.7971868976055,-43.0106809738735,-42.9275088666832,1332,420,0,NaN,NaN,7.00385336956311e+15
Independent PN-IQ PN-DOMP sweep,430,430,0,-42.8037945228417,-43.0184587955947,-42.9293524396691,1364,430,0,NaN,NaN,6.96551298520192e+15
Independent PN-IQ PN-DOMP sweep,440,440,0,-42.804024878544,-43.0262183303415,-42.9353995744595,1386,440,0,NaN,NaN,6.96835389069022e+15
