Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,MaxAbsRealParameter
Complex GMP-DOMP,490,490,0.001,-34.2214028173995,-34.2411096465648,2576,0.825627210831873
Complex GMP-DOMP,490,490,0.0001,-36.6872994169036,-36.7043906031744,2576,1.03543716450358
Complex GMP-DOMP,490,490,1e-05,-37.338840303723,-37.3407524734422,2576,1.2151342463556
Complex GMP-DOMP,500,500,0.001,-34.2133260872903,-34.2331848025261,2627,0.825118151676879
Complex GMP-DOMP,500,500,0.0001,-36.6876144990851,-36.7035649239831,2627,1.03531111406247
Complex GMP-DOMP,500,500,1e-05,-37.340512227716,-37.3408125252437,2627,1.21504988198776
PN-IQ PN-DOMP,20,20,0.001,-30.2253090867985,-30.2471056055783,87,0.982014138994216
PN-IQ PN-DOMP,20,20,0.0001,-30.8530104439441,-30.8838986630015,87,0.96483733367345
PN-IQ PN-DOMP,20,20,1e-05,-30.9980365796476,-31.0296113175974,87,0.943498306365472
PN-IQ PN-DOMP,30,30,0.001,-31.8037895903625,-31.8425738355782,111,0.9649989137653
PN-IQ PN-DOMP,30,30,0.0001,-33.9997520152683,-34.0745509193788,111,1.05314596860996
PN-IQ PN-DOMP,30,30,1e-05,-34.2191037717987,-34.2923191219517,111,1.07578103517983
PN-IQ PN-DOMP,40,40,0.001,-33.1633885389943,-33.2132813244917,143,0.882656631313839
PN-IQ PN-DOMP,40,40,0.0001,-35.108499344718,-35.1631001842696,143,1.0330840853038
PN-IQ PN-DOMP,40,40,1e-05,-36.1088358339113,-36.1701985009935,143,1.2641818580134
PN-IQ PN-DOMP,50,50,0.001,-33.4988065549674,-33.5299665711081,175,0.884543705394794
PN-IQ PN-DOMP,50,50,0.0001,-36.0283587153144,-36.0701751082401,175,1.05097254700091
PN-IQ PN-DOMP,50,50,1e-05,-37.2897757069768,-37.3310865215439,175,1.2726394208948
PN-IQ PN-DOMP,60,60,0.001,-33.6997188456974,-33.7385753901564,223,0.88340329635564
PN-IQ PN-DOMP,60,60,0.0001,-36.3267501743342,-36.3726699484704,223,1.05021279237729
PN-IQ PN-DOMP,60,60,1e-05,-37.6034749222152,-37.646566852967,223,1.25841472341529
PN-IQ PN-DOMP,70,70,0.001,-33.9261387038229,-33.958350663514,269,0.887596127783707
PN-IQ PN-DOMP,70,70,0.0001,-36.7895250290109,-36.8193754101126,269,1.05820695316044
PN-IQ PN-DOMP,70,70,1e-05,-37.9986855916626,-38.0103987195932,269,1.25509640297208
PN-IQ PN-DOMP,80,80,0.001,-34.1808826077672,-34.2127412365871,295,0.884554253004426
PN-IQ PN-DOMP,80,80,0.0001,-36.8308359385747,-36.8552957501703,295,1.0559785233205
PN-IQ PN-DOMP,80,80,1e-05,-38.0723175292249,-38.0799116583513,295,1.2526097200157
PN-IQ PN-DOMP,90,90,0.001,-34.640730871196,-34.6799250914897,317,0.857991927707374
PN-IQ PN-DOMP,90,90,0.0001,-37.1918454676395,-37.2187965229682,317,1.03516582624722
PN-IQ PN-DOMP,90,90,1e-05,-38.1647571412637,-38.1717952166386,317,1.19478876164873
PN-IQ PN-DOMP,100,100,0.001,-34.751617595882,-34.7771469336567,345,0.856272969436055
PN-IQ PN-DOMP,100,100,0.0001,-37.3397217135567,-37.3579146590977,345,1.03133611906616
PN-IQ PN-DOMP,100,100,1e-05,-38.3419448660536,-38.3469782704336,345,1.19419860388281
PN-IQ PN-DOMP,110,110,0.001,-34.8558123465946,-34.8618252398145,382,0.855871546851763
PN-IQ PN-DOMP,110,110,0.0001,-37.4901998775147,-37.4904890377807,382,1.03103289773437
PN-IQ PN-DOMP,110,110,1e-05,-38.5136761174862,-38.5070120364464,382,1.19414435926806
PN-IQ PN-DOMP,120,120,0.001,-34.8629792720747,-34.836538996058,412,0.844958980342422
PN-IQ PN-DOMP,120,120,0.0001,-37.6329021460933,-37.6212947356969,412,1.02821358774448
PN-IQ PN-DOMP,120,120,1e-05,-38.6707331250943,-38.6633906685619,412,1.19427615485847
PN-IQ PN-DOMP,130,130,0.001,-34.9048498876321,-34.8544896105397,443,0.844080130014352
PN-IQ PN-DOMP,130,130,0.0001,-37.694368887311,-37.6584143988426,443,1.02808816867548
PN-IQ PN-DOMP,130,130,1e-05,-38.7493252110406,-38.7225131264832,443,1.19416471580282
PN-IQ PN-DOMP,140,140,0.001,-35.0243121735983,-34.9705977161222,487,0.843624545606608
PN-IQ PN-DOMP,140,140,0.0001,-37.8912124967042,-37.8474430270668,487,1.02180195256759
PN-IQ PN-DOMP,140,140,1e-05,-38.8865725910977,-38.8613449950094,487,1.18541249457788
PN-IQ PN-DOMP,150,150,0.001,-35.0347220706519,-34.9737836392902,517,0.843583750318263
PN-IQ PN-DOMP,150,150,0.0001,-38.0047377604009,-37.9574370061376,517,1.02243168420335
PN-IQ PN-DOMP,150,150,1e-05,-39.0076368480857,-38.9839643940593,517,1.18330020514966
PN-IQ PN-DOMP,160,160,0.001,-35.1259457546449,-35.0708722323511,545,0.842915111142475
PN-IQ PN-DOMP,160,160,0.0001,-38.0672515277963,-38.0244791978468,545,1.02391287699106
PN-IQ PN-DOMP,160,160,1e-05,-39.1421783313528,-39.1351136188116,545,1.18869110989362
