Model,SweepRole,TargetRealParameters,ActualRealParameters,RegularizationMode,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,DenseSourceSignature,CandidateFeatures,RetainedFeatures,ActiveFeatures,FineTuneEpochs,FineTuneBudgetSource,MaskIntegrityAfterPruning,MaskIntegrityAfterFineTune,PointTimeSeconds,ArtifactFile
Independent PN-IQ PN-DOMP sweep,Sweep point,100,100,Validation-selected Ridge,0,-37.0784934588268,-37.34336547049,-37.2702455636241,364,100,0,NaN,Not applicable,1346,1285,50,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,110,110,Validation-selected Ridge,0,-37.5185071793685,-37.5551448042003,-37.4632877225415,388,110,0,NaN,Not applicable,1346,1285,55,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,120,120,Validation-selected Ridge,0,-37.8148902372137,-37.9000693659106,-37.7985691988907,422,120,0,NaN,Not applicable,1346,1285,60,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,130,130,Validation-selected Ridge,0,-38.0210398646695,-38.0388094186774,-37.9214847773023,457,130,0,NaN,Not applicable,1346,1285,65,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,140,140,Validation-selected Ridge,0,-38.0647499304847,-38.1905827991593,-38.0626908151229,486,140,0,NaN,Not applicable,1346,1285,70,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,150,150,Validation-selected Ridge,0,-38.1379668309359,-38.2921454548138,-38.1697303826971,516,150,0,NaN,Not applicable,1346,1285,75,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,160,160,Validation-selected Ridge,0,-38.3152277593481,-38.4037091708884,-38.2838141291292,542,160,0,NaN,Not applicable,1346,1285,80,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,170,170,Validation-selected Ridge,0,-38.3244206995677,-38.5111107445202,-38.3837122246389,569,170,0,NaN,Not applicable,1346,1285,85,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,180,180,Validation-selected Ridge,0,-38.4001587825378,-38.5818470019261,-38.4426966720269,618,180,0,NaN,Not applicable,1346,1285,90,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,190,190,Validation-selected Ridge,0,-38.4207906632782,-38.6413631893684,-38.5041988494038,645,190,0,NaN,Not applicable,1346,1285,95,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,200,200,Validation-selected Ridge,0,-38.4631377989729,-38.6845056386767,-38.547691011671,686,200,0,NaN,Not applicable,1346,1285,100,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,210,210,Validation-selected Ridge,0,-38.5557530882709,-38.750326088336,-38.6188552373556,722,210,0,NaN,Not applicable,1346,1285,105,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,220,220,Validation-selected Ridge,0,-38.5478362169324,-38.7968181081682,-38.6551612367133,752,220,0,NaN,Not applicable,1346,1285,110,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,230,230,Validation-selected Ridge,0,-38.5900457519285,-38.8351422489046,-38.6918913850346,782,230,0,NaN,Not applicable,1346,1285,115,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,240,240,Validation-selected Ridge,0,-38.6107309360957,-38.866393117881,-38.7150068176167,814,240,0,NaN,Not applicable,1346,1285,120,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,250,250,Validation-selected Ridge,0,-38.6552382918028,-38.8933812928154,-38.7376586958064,853,250,0,NaN,Not applicable,1346,1285,125,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,260,260,Validation-selected Ridge,0,-38.7008603969595,-38.9148110463473,-38.7637651231141,878,260,0,NaN,Not applicable,1346,1285,130,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,270,270,Validation-selected Ridge,0,-38.7444094849659,-38.9475017121722,-38.7957176122476,908,270,0,NaN,Not applicable,1346,1285,135,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,280,280,Validation-selected Ridge,0,-38.7736684717441,-38.9836041484291,-38.8325219899849,939,280,0,NaN,Not applicable,1346,1285,140,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,290,290,Validation-selected Ridge,0,-38.7971504920307,-39.0060871715261,-38.8496579583256,967,290,0,NaN,Not applicable,1346,1285,145,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,300,300,Validation-selected Ridge,0,-38.8354618558929,-39.0338470263294,-38.8698954703607,993,300,0,NaN,Not applicable,1346,1285,150,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,310,310,Validation-selected Ridge,0,-38.8395273128729,-39.0546486674023,-38.883031645988,1023,310,0,NaN,Not applicable,1346,1285,155,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,320,320,Validation-selected Ridge,0,-38.8672930952499,-39.0713349022567,-38.8987584896272,1051,320,0,NaN,Not applicable,1346,1285,160,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,330,330,Validation-selected Ridge,0,-38.8854755736614,-39.0970140530434,-38.9214241360098,1079,330,0,NaN,Not applicable,1346,1285,165,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,340,340,Validation-selected Ridge,0,-38.853279642979,-39.1107090477694,-38.9307411786525,1107,340,0,NaN,Not applicable,1346,1285,170,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,350,350,Validation-selected Ridge,0,-38.8570488699995,-39.1205618560483,-38.9375778764451,1138,350,0,NaN,Not applicable,1346,1285,175,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,360,360,Validation-selected Ridge,0,-38.8770053476565,-39.1305159366903,-38.9414610273901,1164,360,0,NaN,Not applicable,1346,1285,180,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
