Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample
PN-IQ PN-DOMP,290,290,1e-05,-37.1372018348345,-37.0581630135119,967
PN-IQ PN-DOMP,300,300,0.001,-35.3727810104805,-35.3231688343251,993
PN-IQ PN-DOMP,300,300,0.0001,-36.5733636709408,-36.5066139681964,993
PN-IQ PN-DOMP,300,300,1e-05,-37.1449966973249,-37.0653503537482,993
PN-IQ PN-DOMP,310,310,0.001,-35.389762328831,-35.3361172042625,1023
PN-IQ PN-DOMP,310,310,0.0001,-36.5941787013275,-36.5245946641793,1023
PN-IQ PN-DOMP,310,310,1e-05,-37.1597572168862,-37.0802230919713,1023
PN-IQ PN-DOMP,320,320,0.001,-35.4476403218605,-35.3889595346755,1051
PN-IQ PN-DOMP,320,320,0.0001,-36.6331606135453,-36.562385805559,1051
PN-IQ PN-DOMP,320,320,1e-05,-37.2007415910741,-37.1199892387621,1051
PN-IQ PN-DOMP,330,330,0.001,-35.4837942722919,-35.4259570714182,1079
PN-IQ PN-DOMP,330,330,0.0001,-36.6718638061849,-36.5996014962594,1079
PN-IQ PN-DOMP,330,330,1e-05,-37.2521628750197,-37.1743393626585,1079
PN-IQ PN-DOMP,340,340,0.001,-35.4940164331706,-35.435178562944,1107
PN-IQ PN-DOMP,340,340,0.0001,-36.6759238065716,-36.6033891142046,1107
PN-IQ PN-DOMP,340,340,1e-05,-37.2572093415868,-37.1788026389241,1107
PN-IQ PN-DOMP,350,350,0.001,-35.4976449835863,-35.4374647747177,1138
PN-IQ PN-DOMP,350,350,0.0001,-36.6810536328463,-36.6072149667518,1138
PN-IQ PN-DOMP,350,350,1e-05,-37.2624783288917,-37.1818849661975,1138
PN-IQ PN-DOMP,360,360,0.001,-35.5035519678536,-35.439808065576,1164
PN-IQ PN-DOMP,360,360,0.0001,-36.6871873925485,-36.6086080170145,1164
PN-IQ PN-DOMP,360,360,1e-05,-37.2683320846709,-37.1828143382422,1164
PN-IQ PN-DOMP,370,370,0.001,-35.5109488941701,-35.4490640356585,1188
PN-IQ PN-DOMP,370,370,0.0001,-36.6943627548837,-36.618285696191,1188
PN-IQ PN-DOMP,370,370,1e-05,-37.2711925984859,-37.1865695226706,1188
PN-IQ PN-DOMP,380,380,0.001,-35.5143991972624,-35.453008594845,1214
PN-IQ PN-DOMP,380,380,0.0001,-36.6984609291355,-36.6224637386055,1214
PN-IQ PN-DOMP,380,380,1e-05,-37.2781012177038,-37.1948696037289,1214
PN-IQ PN-DOMP,390,390,0.001,-35.5180404210364,-35.4570749234439,1240
PN-IQ PN-DOMP,390,390,0.0001,-36.7045412638026,-36.6282013551317,1240
PN-IQ PN-DOMP,390,390,1e-05,-37.2849443029185,-37.199414072926,1240
PN-IQ PN-DOMP,400,400,0.001,-35.5212341966247,-35.4591814298796,1270
PN-IQ PN-DOMP,400,400,0.0001,-36.7094282391707,-36.6308284644459,1270
PN-IQ PN-DOMP,400,400,1e-05,-37.2910423919622,-37.2029315995004,1270
PN-IQ PN-DOMP,410,410,0.001,-35.5231172899083,-35.4613689149184,1296
PN-IQ PN-DOMP,410,410,0.0001,-36.7116563320182,-36.6335328098601,1296
PN-IQ PN-DOMP,410,410,1e-05,-37.2957502286362,-37.2079328875723,1296
PN-IQ PN-DOMP,420,420,0.001,-35.5260364580533,-35.4643150468243,1326
PN-IQ PN-DOMP,420,420,0.0001,-36.7175664539762,-36.6388158572943,1326
PN-IQ PN-DOMP,420,420,1e-05,-37.2999538446444,-37.2126061914013,1326
PN-IQ PN-DOMP,430,430,0.001,-35.5254941987027,-35.4641870656336,1354
PN-IQ PN-DOMP,430,430,0.0001,-36.7246346310226,-36.6459532442584,1354
PN-IQ PN-DOMP,430,430,1e-05,-37.3081164919169,-37.2197513690512,1354
PN-IQ PN-DOMP,440,440,0.001,-35.5512695129914,-35.4892996795751,1376
PN-IQ PN-DOMP,440,440,0.0001,-36.74496146679,-36.6667024153285,1376
PN-IQ PN-DOMP,440,440,1e-05,-37.318148315534,-37.2312405916957,1376
PN-IQ PN-DOMP,450,450,0.001,-35.552114494452,-35.4873635902781,1403
PN-IQ PN-DOMP,450,450,0.0001,-36.7666346032021,-36.6858596830744,1403
PN-IQ PN-DOMP,450,450,1e-05,-37.337905506564,-37.2478863183526,1403
PN-IQ PN-DOMP,460,460,0.001,-35.5570371155683,-35.4907763647489,1436
PN-IQ PN-DOMP,460,460,0.0001,-36.777449370307,-36.6940829058927,1436
PN-IQ PN-DOMP,460,460,1e-05,-37.3505251174201,-37.256029481999,1436
PN-IQ PN-DOMP,470,470,0.001,-35.5776408512712,-35.5079227242306,1461
PN-IQ PN-DOMP,470,470,0.0001,-36.7778236367755,-36.6938799059015,1461
PN-IQ PN-DOMP,470,470,1e-05,-37.351643942824,-37.2570376650756,1461
PN-IQ PN-DOMP,480,480,0.001,-35.5763201878754,-35.5050698252579,1491
PN-IQ PN-DOMP,480,480,0.0001,-36.7799356562635,-36.6950334795594,1491
PN-IQ PN-DOMP,480,480,1e-05,-37.3578056119919,-37.2620985723385,1491
PN-IQ PN-DOMP,490,490,0.001,-35.5777599618844,-35.5060661004049,1522
PN-IQ PN-DOMP,490,490,0.0001,-36.7857093175752,-36.6982425281812,1522
PN-IQ PN-DOMP,490,490,1e-05,-37.366955720221,-37.267734462091,1522
PN-IQ PN-DOMP,500,500,0.001,-35.5791375706054,-35.50770892408,1549
PN-IQ PN-DOMP,500,500,0.0001,-36.7873738864956,-36.7002329990195,1549
PN-IQ PN-DOMP,500,500,1e-05,-37.3697922364939,-37.2708081668066,1549
